,player_name,club_involved_name,season,age,fee_cleaned,LR,BWKNN,RF,GB,NN,LRstack,NNstack,SimpleAvg,LRdelta,BWKNNdelta,RFdelta,GBdelta,NNdelta
0,Tommy Elphick,Aston Villa,2016/2017,0.14725582026395612,3.51,0.0,1.9511333333333332,2.943079999999999,4.5622236713743405,2.8990557369488097,1.52307923149895,1.2879091911639815,2.471098548331297,-3.51,-1.5588666666666664,-0.566920000000001,1.0522236713743416,-0.6109442630511901
1,Samuel Umtiti,FC Barcelona,2016/2017,-1.317346996275343,22.5,18.77761781809465,18.600666666666665,22.93418666666667,25.899884101560932,24.15179881904816,24.14998175788505,23.55780418316727,22.072830814407414,-3.7223821819053526,-3.899333333333335,0.4341866666666725,3.399884101560932,1.6517988190481605
2,Maicosuel,Ajax Amsterdam,2014/2015,0.14725582026395612,2.7,2.1371655493036057,3.2802666666666664,3.202046666666665,4.611676342061615,2.9157398730990582,2.386052788783741,2.537139396710536,3.2293790195595213,-0.5628344506963945,0.5802666666666663,0.502046666666665,1.9116763420616143,0.2157398730990576
3,James McClean,Stoke City,2018/2019,0.3913562896871726,5.04,0.0,1.2696666666666665,3.422429999999997,1.6626728120646381,2.3622017031211,0.9949769830387414,0.8512289069997558,1.7433942363704802,-5.04,-3.770333333333333,-1.6175700000000028,-3.3773271879353617,-2.6777982968789007
4,Miso Brecko,1.FC Nuremberg,2015/2016,0.8795572285336056,0.45,0.0,1.6932,1.381213333333334,-1.0647030860965032,2.0595894319078765,0.7719846387146745,0.4919450124922029,0.8138599358289416,-0.45,1.2432,0.931213333333334,-1.5147030860965032,1.6095894319078763
5,Emmanuel Rivière,Newcastle United,2014/2015,-0.8291460574289099,5.69,6.236715193214941,8.402666666666667,7.126783333333332,14.385189175425227,3.9013108951884345,5.93294356691405,6.7966039865771215,8.010533052765723,0.5467151932149408,2.7126666666666663,1.4367833333333326,8.695189175425227,-1.7886891048115658
6,Rick van Drongelen,Hamburger SV,2017/2018,-2.2937488739682093,2.7,0.0,4.092266666666666,5.584823333333342,4.8739066702446765,0.5692546277307629,1.3201818040490734,2.104036225685784,3.0240502595950898,-2.7,1.3922666666666659,2.884823333333342,2.1739066702446763,-2.1307453722692373
7,Hirving Lozano,SSC Napoli,2019/2020,-0.8291460574289099,34.2,30.522816516424218,27.555333333333333,40.05626666666669,41.03171471995664,38.99349774484668,39.037630752146576,37.790706662374646,35.63192579624551,-3.677183483575785,-6.644666666666666,5.856266666666691,6.831714719956636,4.7934977448466745
8,Michail Antonio,West Ham United,2015/2016,-0.5850455880056934,8.55,11.647759380405288,7.6163333333333325,9.78901333333334,4.920199281746483,3.733853193275898,6.543081659161662,6.5250609082010484,7.5414317044188675,3.097759380405286,-0.9336666666666672,1.2390133333333395,-3.6298007182535175,-4.816146806724103
9,Mike van Duinen,PEC Zwolle,2018/2019,-0.3409451185824769,0.675,0.2951007662728005,1.3353333333333337,2.405786666666666,0.4264892325469127,1.5242701156974685,0.5084495585363316,0.4843260940813805,1.1973960229034362,-0.3798992337271996,0.6603333333333334,1.7307866666666658,-0.24851076745308734,0.8492701156974685
10,Maksim Kanunnikov,Rubin Kazan,2014/2015,-1.317346996275343,1.35,1.8031234639816531,3.1950000000000003,1.6063133333333346,2.0335290297568633,1.4461476402089373,1.3380682786903653,1.5640004374222618,2.0168226934561573,0.4531234639816528,1.845,0.2563133333333345,0.6835290297568628,0.09614764020893718
11,Niklas Hult,PSV Eindhoven,2016/2017,-0.3409451185824769,0.27,0.0,0.7419333333333334,1.0441766666666663,-0.7025246525748947,0.8181424836954095,-0.2762182542582541,0.05363519224522023,0.380345566224103,-0.27,0.4719333333333334,0.7741766666666665,-0.9725246525748948,0.5481424836954095
12,Martin Skrtel,Fulham FC,2016/2017,0.8795572285336056,5.4,13.417167237537296,5.247000000000001,11.026716666666674,8.101071906804114,11.136636983472442,10.056614089734762,9.626268834156404,9.785718558896106,8.017167237537295,-0.15300000000000047,5.626716666666676,2.7010719068041134,5.736636983472443
13,Jack Cork,Burnley FC,2017/2018,0.14725582026395612,8.19,5.279875969153282,2.3400000000000003,3.7061033333333318,7.218383345327897,1.0623919162701554,1.6065617725907022,2.8649287953079035,3.9213509128169326,-2.9101240308467187,-5.85,-4.483896666666667,-0.9716166546721032,-7.127608083729844
14,Ross McCormack,Aston Villa,2016/2017,0.3913562896871726,12.87,18.535606835795246,12.696,17.62095999999999,12.001370879869258,8.603807547571625,12.92858821969735,13.699187267589295,13.891549052647223,5.665606835795248,-0.1739999999999995,4.75095999999999,-0.8686291201307412,-4.266192452428374
15,Juan Bernat,Paris Saint-Germain,2018/2019,-0.5850455880056934,4.5,15.543968322062314,8.586000000000002,13.653233333333347,15.956334143133805,8.897352128180865,10.759300771798896,12.281591251081894,12.52737758534207,11.043968322062316,4.086000000000002,9.153233333333349,11.456334143133805,4.397352128180863
16,Edgar Ié,LOSC Lille,2017/2018,-1.0732465268521263,3.15,0.0,3.822266666666666,2.2836833333333333,-0.5040441743594358,-0.7101710740941192,0.16947755570428935,1.2554454866624936,0.9783469503092891,-3.15,0.6722666666666663,-0.8663166666666666,-3.654044174359436,-3.8601710740941186
17,Tiemoué Bakayoko,Chelsea FC,2017/2018,-1.317346996275343,36.0,18.114581897559017,9.057,18.746816666666657,19.64840059661197,21.79286947566645,18.76769948346484,18.407342752360357,17.47193372730082,-17.885418102440983,-26.943,-17.253183333333347,-16.351599403388025,-14.207130524333555
